('152115338', '20170112112650', '8CAB8E901F68', '98:fa:e3:3a:a7:ba', 'http://archive-shop.vip.com/detail-997804-152115338.html', 'vip', u'\u68ee\u9a6c\u7ea2\u84dd\u8272\u8c03\u5973\u88c5\u5957\u5934\u6bdb\u886b', u'\u5973\u5f0f\u9488\u7ec7\u886b', u'\u68ee\u9a6c\u5973\u88c5\u4e13\u573a') ('152115338', datetime.datetime(2017, 3, 15, 2, 43, 18, 121512), u'79')
('153954121', '20170112003148', '8CAB8EABDA38', '08:10:79:56:9c:1e', 'http://archive-shop.vip.com/detail-1040614-153954121.html', 'vip', u'\u6469\u5229\u65af\u57fa\u610f\u5927\u5229\u8fdb\u53e3\u7537\u58eb\u9ed1\u8272\u8f6f\u76ae\u978b', u'\u7537\u5f0f\u5546\u52a1\u978b', u'\u610f\u5927\u5229\u54c1\u724c\u7537\u5973\u978b\u6df7\u5408\u4e13\u573a') ('153954121', datetime.datetime(2017, 3, 15, 2, 43, 18, 38575), u'2680')
('153226305', '20170112103744', '8CAB8EE971C8', '34:80:b3:8b:8e:75', 'http://archive-shop.vip.com/detail-1013396-153226305.html', 'vip', u'UNAFORTE\u610f\u5927\u5229.925\u7eaf\u94f6\u65b9\u7ebf\u8f66\u626d\u7ef3\u624b\u94fe\u767d\u91d1\u8272', u'\u94f6\u624b\u956f\u624b\u94fe', u'UNAFORTE\u610f\u5927\u5229\u65f6\u5c1a\u73e0\u5b9d\u4e13\u573a') ('153226305', datetime.datetime(2017, 3, 15, 2, 43, 18, 37123), u'109')
('154215139', '20170112120957', '8CAB8EB9C250', 'f0:de:f1:33:9b:5d', 'http://archive-shop.vip.com/detail-991899-154215139.html', 'vip', u'\u6c99\u9a70\u70ed\u9500\u7206\u6b3e \u9ed1\u8272\u7ecf\u5178\u538b\u82b1\u725b\u76ae\u6b63\u88c5\u978b', u'\u7537\u5f0f\u5546\u52a1\u978b', u'\u6c99\u9a70satchi\u7cbe\u82f1\u7537\u978b\u4e13\u573a') ('154215139', datetime.datetime(2017, 3, 15, 2, 43, 18, 24524), u'698')
('153994511', '20170112111403', '8CAB8ECD5D48', '18:cf:5e:1c:0c:a8', 'http://archive-shop.vip.com/detail-1009769-153994511.html', 'vip', u'\u6240\u5728\u7c89\u8272\u7ffb\u9a73\u9886\u843d\u80a9\u5bbd\u677e\u5927\u8863', u'\u5973\u5f0f\u5927\u8863', u'\u6240\u5728here\u5973\u88c5\u4e13\u573a') ('153994511', datetime.datetime(2017, 3, 15, 2, 43, 18, 12511), u'199')
('152123676', '20170112110101', 'CC81DA02EFD8', 'a0:48:1c:8c:44:3a', 'http://archive-shop.vip.com/detail-1015547-152123676.html', 'vip', u'\u9a86\u9a7c\u724c\u4fbf\u6377\u5957\u811a \u7537\u6b3e\u5934\u5c42\u725b\u76ae\u5546\u52a1\u6b63\u88c5\u978b\u68d5\u8272', u'\u7537\u5f0f\u5546\u52a1\u978b', u'\u96c6\u56e2\u949c\u732e\u2014\u9a86\u9a7c\u724c\u7537\u5973\u978b\u6df7\u5408\u4e13\u573a') ('152123676', datetime.datetime(2017, 3, 15, 2, 43, 17, 989307), u'398')
('154267736', '20170112111403', '8CAB8ECD5D48', '18:cf:5e:1c:0c:a8', 'http://archive-shop.vip.com/detail-1008884-154267736.html', 'vip', u'\u7d20\u7f15\u6587\u827a\u7b80\u7ea6\u5973\u5f0f\u6bdb\u8863\u7070\u8272', u'\u5973\u5f0f\u6bdb\u8863', u'\u7d20\u7f15Souline\u5973\u88c5\u4e13\u573a') ('154267736', datetime.datetime(2017, 3, 15, 2, 43, 17, 974764), u'99')
('152392601', '20170112120417', '006B8EDF5030', 'e0:f8:47:1f:88:92', 'http://archive-shop.vip.com/detail-1027337-152392601.html', 'vip', u'\u4f18\u96c5100\u5168\u68c9\u6536\u7eb3\u7b50\u810f\u8863\u7bee-\u82f1\u4f26\u98ce\u6df1', u'\u5176\u4ed6\u6536\u7eb3', u'\u4f18\u96c5100\u6536\u7eb3\u5e03\u827a\u8054\u5408\u4e13\u573a') ('152392601', datetime.datetime(2017, 3, 15, 2, 43, 17, 972497), u'39')
('153510786', '20170112100703', '8CAB8ECDA630', '00:26:2d:4b:6a:4d', 'http://archive-shop.vip.com/detail-1009378-153510786.html', 'vip', u'\u5a01\u4e1d\u66fc\u65f6\u5c1a\u62fc\u63a5\u8fde\u8863\u88d9\u9ed1\u8272', u'\u8fde\u8863\u88d9', u'\u5a01\u4e1d\u66fcWSM\u5973\u88c5\u4e13\u573a') ('153510786', datetime.datetime(2017, 3, 15, 2, 43, 17, 937924), u'109')
('153115608', '20170112110851', '8CAB8ECCBB90', 'b8:97:5a:70:e3:84', 'http://archive-shop.vip.com/detail-1010421-153115608.html', 'vip', u'GIRDEAR\u9ed1\u8272\u8fd0\u52a8\u8212\u9002\u4f11\u95f2\u957f\u88e4', u'\u5973\u5f0f\u4f11\u95f2\u88e4', u'\u54e5\u5f1fGIRDEAR\u5973\u88c5\u4e13\u573a') ('153115608', datetime.datetime(2017, 3, 15, 2, 43, 17, 824872), u'449')
