('132340076', '20170114115142', '8CAB8EE13120', 'bc:ae:c5:cc:df:9a', 'http://archive-shop.vip.com/detail-928720-132340076.html', 'vip', '\xe6\xbe\xb3\xe6\x8d\xb7\xe5\xb0\x94\xe5\x93\x86\xe5\x95\xa6a\xe6\xa2\xa6\xe5\x8d\x95\xe8\x82\xa9\xe4\xba\xb2\xe5\xad\x90\xe6\xac\xbe\xe5\xb0\x8f\xe6\x8c\x8e\xe5\x8c\x85\xef\xbc\x88\xe8\xb0\x83\xe7\x9a\xae\xe6\xac\xbe\xef\xbc\x89', '\xe6\xaf\x9b\xe7\xbb\x92/\xe5\x85\xac\xe4\xbb\x94', '\xe6\x97\x97\xe8\x88\xb0\xe5\xba\x97-\xe6\xbe\xb3\xe6\x8d\xb7\xe5\xb0\x94\xe7\x8e\xa9\xe5\x85\xb7') ('132340076', datetime.datetime(2017, 3, 14, 23, 23, 36, 28542), '32')
('153994571', '20170114101328', 'CC81DA299850', '54:04:a6:32:1f:83', 'http://archive-shop.vip.com/detail-1009769-153994571.html', 'vip', '\xe6\x89\x80\xe5\x9c\xa8\xe6\xb5\x85\xe8\x93\x9d\xe6\x8b\xbc\xe6\x8e\xa5\xe8\x95\xbe\xe4\xb8\x9d\xe5\x9c\x86\xe9\xa2\x86\xe9\x95\xbf\xe8\xa2\x96T\xe6\x81\xa4', '\xe5\xa5\xb3\xe5\xbc\x8fT\xe6\x81\xa4', '\xe6\x89\x80\xe5\x9c\xa8here\xe5\xa5\xb3\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('153994571', datetime.datetime(2017, 3, 14, 23, 23, 35, 989348), '59')
('152798857', '20170114103810', '8CAB8EF7A370', '64:76:ba:8a:3a:9a', 'http://archive-shop.vip.com/detail-988289-152798857.html', 'vip', '\xe6\x96\xb0\xe5\x85\x89\xe9\xa5\xb0\xe5\x93\x81\xe6\x96\xb0\xe5\x85\x89\xe9\xa5\xb0\xe5\x93\x81 \xe4\xb8\x89\xe4\xb8\x96\xe4\xb8\x89\xe7\x94\x9f\xe6\x97\xb6\xe5\xb0\x9a\xe5\x88\xab\xe9\x92\x88\xe9\x94\x86\xe7\x9f\xb3\xe6\x88\x92\xe6\x8c\x87', '\xe6\x88\x92\xe6\x8c\x87', '\xe6\x96\xb0\xe5\x85\x89\xe9\xa5\xb0\xe5\x93\x81\xe4\xb8\x93\xe5\x9c\xba') ('152798857', datetime.datetime(2017, 3, 14, 23, 23, 35, 949319), '79')
('152228943', '20170114193606', '8CAB8ED44220', '48:8a:d2:18:93:bf', 'http://archive-shop.vip.com/detail-993020-152228943.html', 'vip', '\xe4\xbb\x99\xe5\xad\x90\xe5\xae\x9c\xe5\xb2\xb1\xe6\xb5\x85\xe6\x9d\x8f\xe9\xad\x85\xe6\x83\x91\xe8\x95\xbe\xe4\xb8\x9d\xe4\xb8\xad\xe8\x85\xb0\xe8\x88\x92\xe9\x80\x82\xe6\x80\xa7\xe6\x84\x9f\xe5\xb9\xb3\xe8\xa7\x92\xe8\xa3\xa4', '\xe5\xa5\xb3\xe5\xbc\x8f\xe5\x86\x85\xe8\xa3\xa4', '\xe4\xbb\x99\xe5\xad\x90\xe5\xae\x9c\xe5\xb2\xb1XZYD\xe5\x86\x85\xe8\xa1\xa3\xe4\xb8\x93\xe5\x9c\xba') ('152228943', datetime.datetime(2017, 3, 14, 23, 23, 35, 922351), '15')
('155434732', '20170116115745', '8CAB8ED16BE0', '70:8b:cd:bd:88:37', 'http://archive-shop.vip.com/detail-1040861-155434732.html', 'vip', '\xe7\xac\x9b\xe8\x8e\x8e\xe5\xa5\xb3\xe7\xab\xa5\xe7\xba\xa2\xe8\x89\xb2\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xa5\xb3\xe7\xab\xa5\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe7\xac\x9b\xe8\x8e\x8eDeesha\xe5\xa5\xb3\xe7\xab\xa5\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('155434732', datetime.datetime(2017, 3, 14, 23, 23, 35, 757592), '299')
('147131052', '20170115112657', '8CAB8EEBB108', '74:f0:6d:94:33:41', 'http://archive-shop.vip.com/detail-986972-147131052.html', 'vip', '\xe9\xb9\xbf\xe7\x8e\x8b\xe9\xb9\xbf\xe7\x8e\x8b \xe7\xbc\xa9\xe7\xbb\x92\xe5\xa4\x9a\xe8\x87\x82\xe6\xa0\xbc\xe5\x9b\xb4\xe5\xb7\xbe', '\xe5\xa5\xb3\xe6\xac\xbe\xe5\x9b\xb4\xe5\xb7\xbe/\xe6\x8a\xab\xe8\x82\xa9', '\xe9\xb9\xbf\xe7\x8e\x8b\xe7\xbe\x8a\xe7\xbb\x92\xe5\x9b\xb4\xe5\xb7\xbe\xe4\xb8\x93\xe5\x9c\xba') ('147131052', datetime.datetime(2017, 3, 14, 23, 23, 35, 638247), '248')
('155432611', '20170116115745', '8CAB8ED16BE0', '70:8b:cd:bd:88:37', 'http://archive-shop.vip.com/detail-1040873-155432611.html', 'vip', '\xe7\xac\x9b\xe8\x8e\x8e\xe5\xa5\xb3\xe7\xab\xa5\xe7\xba\xa2\xe8\x89\xb2\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe5\xa5\xb3\xe7\xab\xa5\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe7\xac\x9b\xe8\x8e\x8eDeesha\xe5\xb0\x8f\xe7\xab\xa5\xe8\xa3\x85\xe4\xb8\x93\xe5\x9c\xba') ('155432611', datetime.datetime(2017, 3, 14, 23, 23, 35, 618258), '359')
('153951733', '20170117003651', '8CAB8EEE0748', 'fc:aa:14:d5:0c:21', 'http://archive-shop.vip.com/detail-1033976-153951733.html', 'vip', '\xe9\x9b\x85\xe6\xbc\xbe \xe8\x88\x92\xe6\xb6\xa6\xe6\x9f\x94\xe8\x82\xa4\xe6\xb0\xb4', '\xe7\x88\xbd\xe8\x82\xa4\xe6\xb0\xb4/\xe6\x9f\x94\xe8\x82\xa4\xe6\xb0\xb4', '\xe9\x9b\x85\xe6\xbc\xbeAvene\xe5\x8c\x96\xe5\xa6\x86\xe5\x93\x81\xe4\xb8\x93\xe5\x9c\xba') ('153951733', datetime.datetime(2017, 3, 14, 23, 23, 35, 607277), '159')
('152947110', '20170117093801', '8CAB8EC871B0', '9c:2a:70:72:07:26', 'http://archive-shop.vip.com/detail-1014306-152947110.html', 'vip', '\xe4\xb8\x89\xe6\x9e\xaa\xe5\xa5\xb3\xe7\x8f\x8d\xe7\x8f\xa0\xe9\xbb\x91\xe7\xbe\x8e\xe4\xbd\x93\xe4\xbf\xae\xe8\xba\xab\xe5\x8a\xa0\xe5\x8e\x9a\xe5\x9c\x86\xe9\xa2\x86\xe5\xa5\xb3\xe5\x86\x85\xe8\xa1\xa3\xe5\xa5\x97', '\xe5\xa5\xb3\xe5\xa3\xab\xe4\xbf\x9d\xe6\x9a\x96\xe5\x86\x85\xe8\xa1\xa3', '\xe4\xb8\x89\xe6\x9e\xaa\xe7\x94\xb7\xe5\xa5\xb3\xe5\x86\x85\xe8\xa1\xa3\xe6\xb7\xb7\xe5\x90\x88\xe4\xb8\x93\xe5\x9c\xba') ('152947110', datetime.datetime(2017, 3, 14, 23, 23, 35, 588409), '147')
('129272019', '20170117125306', '8CAB8EC6A370', 'b8:97:5a:95:b7:5b', 'http://archive-shop.vip.com/detail-898249-129272019.html', 'vip', '\xe6\x9f\x92\xe7\x89\x8c\xe6\xb7\xb1\xe8\x93\x9d\xe8\x89\xb2\xe6\x97\xb6\xe5\xb0\x9a\xe7\xbb\x8f\xe5\x85\xb8\xe4\xbf\xae\xe8\xba\xab\xe4\xbf\x9d\xe6\x9a\x96\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe7\x94\xb7\xe5\xbc\x8f\xe7\xbe\xbd\xe7\xbb\x92\xe6\x9c\x8d', '\xe6\x9f\x92\xe7\x89\x8c\xe7\x94\xb7\xe8\xa3\x85\xe7\x89\xb9\xe5\x8d\x96\xe6\x97\x97\xe8\x88\xb0\xe5\xba\x97') ('129272019', datetime.datetime(2017, 3, 14, 23, 23, 35, 455811), '388')
